rotor_radius,root_radius,n_blades,air_density,wind_speed,tip_speed_ratio,pitch,start_radius,tip_loss_correction,root_loss_correction,resolution,r_centre,r_inner,r_outer,a,a_prime,f_n,f_t,C_T,alpha,circulation,end_correction,c_l,c_d,phi,inflow_speed
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,21.55778894472362,21.457286432160807,21.65829145728643,0.15037035337638166,0.016550933711755676,1346.658897052384,379.66718124818675,0.5110364408073751,13.219682771708138,41.2546547844836,0.9434881697716456,1.1031008083763583,0.06628249539574697,0.33481526964486735,27.63595504012436
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,21.758793969849247,21.65829145728643,21.859296482412063,0.1510782950098882,0.016368401006755955,1367.4438692142978,383.1680114100378,0.5130145751471735,13.07267063817456,41.53663112386669,0.9458879444559387,1.1065335790070914,0.06432432362725912,0.33126712801390595,27.862683036741345
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,21.959798994974875,21.859296482412063,22.060301507537687,0.15178347833435243,0.01618871361307356,1388.2300579928033,386.6089545153546,0.5149810161563104,12.929802513604255,41.81321566955685,0.9481784669741967,1.1098695859767533,0.0624213492167389,0.32779131298358577,28.08963659617569
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,22.160804020100503,22.060301507537687,22.26130653266332,0.1524853403119809,0.016011768710332545,1409.0132411895886,389.9901219616126,0.5169342452076812,12.790964603733629,42.084433373672304,0.9503640754546169,1.1131114864102807,0.060572056447700716,0.32438583846933733,28.31681098194978
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,22.36180904522613,22.26130653266332,22.462311557788944,0.1531833356643857,0.015837468238405202,1429.7892090467446,393.3116154665365,0.5188728053564713,12.656047384508762,42.35030834793458,0.9524489271508324,1.1162618377221303,0.05877498648198472,0.32104879291580946,28.544201549566676
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,22.56281407035176,22.462311557788944,22.663316582914575,0.1538769689936625,0.015665719227115526,1450.553779848485,396.57352678300725,0.5207953896279437,12.524944635271563,42.61086448209179,0.954437005640399,1.1193231201916285,0.05702872448199279,0.317778322422785,28.771803664268774
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,22.763819095477388,22.663316582914575,22.8643216080402,0.1545658605721164,0.015496434623003348,1471.3028318965012,399.7759354758461,0.5227010212708699,12.397551759094974,42.86612660168641,0.9563321279442419,1.122297776183569,0.05533187723789446,0.3145726014294991,28.99961253913821
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,22.964824120603016,22.8643216080402,23.06532663316583,0.15524759886468872,0.015329498790832924,1492.031286287936,402.918997294151,0.5245831276457497,12.273814584846646,43.11608456922687,0.9581379279698046,1.1251870706076417,0.053683723201206075,0.31143068447133293,29.227628549204738
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,23.165829145728644,23.06532663316583,23.266331658291456,0.15629439115752647,0.0152279477866817,1515.7547996746407,407.5325936871929,0.5274658178008983,12.14418567666257,43.45279243680939,0.9599075617025029,1.1303638391494213,0.05150421778897746,0.30818593735733646,29.456460594837182
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,23.366834170854272,23.266331658291456,23.467336683417088,0.15747380306069333,0.015149750674413364,1540.6370126464649,412.66058727519106,0.5307032176411812,12.014737039773044,43.81837186939578,0.9616108744568381,1.1363217262029142,0.049161684924763235,0.3049443365709767,29.685711014023887
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,23.5678391959799,23.467336683417088,23.668341708542712,0.15863604587515806,0.01506911819501109,1565.4570459877887,417.68284175389215,0.5338826032970112,11.889197431492942,44.17550624093662,0.9632307573572991,1.142099699805764,0.04688989075818818,0.30177096120440605,29.915124039851854
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,23.768844221105528,23.668341708542712,23.869346733668344,0.15978119833049514,0.014986231133190139,1590.2101146945915,422.6004804074882,0.5370046679622645,11.767448505002346,44.524290635602185,0.9647704838069118,1.147703206882737,0.04468669365746924,0.2986637457159577,30.14469622799327
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,23.969849246231156,23.869346733668344,24.07035175879397,0.16099142826687124,0.014907912391935368,1615.5824022671668,427.56811638957015,0.5402927531658565,11.647507481105432,44.88390012355996,0.9662433469528723,1.1536295892308812,0.042550103383959786,0.29558808408032444,30.374381376222704
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,24.170854271356784,24.07035175879397,24.2713567839196,0.1621857304538065,0.01482753429765578,1640.9075444778844,432.4346120943761,0.5435260771638869,11.531153056160992,45.235815834636554,0.9676420439860425,1.1594011380872524,0.04047927165429386,0.29257502040536043,30.60421992106108
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,24.371859296482413,24.2713567839196,24.472361809045225,0.16335970877152534,0.014744889298716835,1666.141493991508,437.1923485688894,0.5466932572864311,11.418379940446997,45.579044617423904,0.9689688994810611,1.1649950426365576,0.038472178702003104,0.28962446236799977,30.83421059824222
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,24.57286432160804,24.472361809045225,24.673366834170857,0.16451540156027616,0.014660197516898232,1691.2819823125096,441.84308654268744,0.549800336838949,11.309042363172118,45.913756284194854,0.9702267409586331,1.1704185335728117,0.036526230154075204,0.28673386578798044,31.064346528500845
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,24.77386934673367,24.673366834170857,24.87437185929648,0.16551770377711097,0.014572144994749051,1715.207799769497,446.40901536069,0.5524863740538541,11.20584121713916,46.211701813213395,0.9714034697277788,1.174944033748712,0.03447552995271873,0.28395037013745494,31.294943133005138
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,24.974874371859297,24.87437185929648,25.075376884422113,0.16638080501994834,0.014481411928283344,1737.993420299926,450.9014291847214,0.5547929309634491,11.108306784968763,46.47562097850045,0.9725038506250185,1.178650342171187,0.03233172313361341,0.2812657773015995,31.525965390187775
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,25.175879396984925,25.075376884422113,25.276381909547737,0.16722871939354866,0.014389434013996637,1760.6956151056843,455.3021039032279,0.5570530992141697,11.013762070080688,46.73268522309617,0.9735445491689209,1.1822430413369338,0.030253630300373525,0.27863336487602436,31.757114825449417
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,25.376884422110553,25.276381909547737,25.47738693467337,0.16806118620389016,0.01429628846272674,1783.309564729105,459.611208932903,0.5592664955825261,10.922131588135175,46.9829399982649,0.9745277608572148,1.1857249996508634,0.028239592307211146,0.276051815410467,31.988388793233515
